sample	group	description	bioproject	Age	AvgSpotLen	Instrument	LibraryLayout	sex	strain	tissue	library_prep	disease_site
SRR11548481	MmSkMu	"Mm,Quadriceps,female"	PRJNA625451	8 weeks	252	Illumina HiSeq 2500	PAIRED	female	FVB/N	Quadriceps	TruSeq Stranded mRNA Library Prep Kit	
SRR11548482	MmSkMu	"Mm,Quadriceps,female"	PRJNA625451	8 weeks	252	Illumina HiSeq 2500	PAIRED	female	FVB/N	Quadriceps	TruSeq Stranded mRNA Library Prep Kit	
SRR11548485	MmSkMu	"Mm,Quadriceps,male"	PRJNA625451	10 weeks	252	Illumina HiSeq 2500	PAIRED	male	FVB/N	Quadriceps	TruSeq Stranded mRNA Library Prep Kit	
SRR11548486	MmSkMu	"Mm,Quadriceps,male"	PRJNA625451	10 weeks	252	Illumina HiSeq 2500	PAIRED	male	FVB/N	Quadriceps	TruSeq Stranded mRNA Library Prep Kit	
SRR11148753	MmSkMu	"Mm,Quadriceps,male"	PRJNA608179	13 weeks	302	Illumina HiSeq 4000	PAIRED	male	C57BL/6J	Quadriceps	TruSeq stranded mRNA protocol	
SRR11148754	MmSkMu	"Mm,Quadriceps,male"	PRJNA608179	13 weeks	302	Illumina HiSeq 4000	PAIRED	male	C57BL/6J	Quadriceps	TruSeq stranded mRNA protocol	
SRR11148755	MmSkMu	"Mm,Quadriceps,male"	PRJNA608179	13 weeks	302	Illumina HiSeq 4000	PAIRED	male	C57BL/6J	Quadriceps	TruSeq stranded mRNA protocol	
SRR11148756	MmSkMu	"Mm,Quadriceps,male"	PRJNA608179	13 weeks	302	Illumina HiSeq 4000	PAIRED	male	C57BL/6J	Quadriceps	TruSeq stranded mRNA protocol	
SRR18474146	MmSkMu	"Mm,skeletalmuscle,male"	PRJNA819493	36 weeks	150	Illumina MiSeq	PAIRED	male	NA	skeletalmuscle	NA	
SRR18474147	MmSkMu	"Mm,skeletalmuscle,male"	PRJNA819493	36 weeks	150	Illumina MiSeq	PAIRED	male	NA	skeletalmuscle	NA	
SRR18474148	MmSkMu	"Mm,skeletalmuscle,male"	PRJNA819493	36 weeks	150	Illumina MiSeq	PAIRED	male	NA	skeletalmuscle	NA	
SRR18474149	MmSkMu	"Mm,skeletalmuscle,male"	PRJNA819493	36 weeks	150	Illumina MiSeq	PAIRED	male	NA	skeletalmuscle	NA	
SRR18474150	MmSkMu	"Mm,skeletalmuscle,male"	PRJNA819493	14 weeks	150	Illumina MiSeq	PAIRED	male	NA	skeletalmuscle	NA	
